,region_code,city,upload_kbps_2008,upload_kbps_2009,upload_kbps_2010,upload_kbps_2011,upload_kbps_2012,upload_kbps_2013,upload_kbps_2014,total_tests_2008,total_tests_2009,total_tests_2010,total_tests_2011,total_tests_2012,total_tests_2013,total_tests_2014,download_kbps_2008,download_kbps_2009,download_kbps_2010,download_kbps_2011,download_kbps_2012,download_kbps_2013,download_kbps_2014,over200_2008,over200_2009,over200_2010,over200_2011,over200_2012,over200_2013,over200_2014,zip,primary_city,state
7999,OH,Avon Lake,630.3797341,869.1775859,534.5887396,1232.301978,1752.64674,2403.793315,2890.034073,56407,88508,110894,158897,220989,302112,280053,6165.144566,8335.396761,8475.46626,13494.61225,14621.81354,16473.36877,17008.06618,56407,88508,110894,158897,220989,302112,280053,44012,Avon Lake,OH
8000,OH,Barberton,525.9866833,555.2881136,601.7328849,949.7868247,1310.969834,2201.613973,2285.270727,79673,123911,168895,224816,359051,446127,408859,5843.701889,9499.212299,10119.88482,10973.80167,12267.89641,15036.48164,15170.536,79673,123911,168895,224816,359051,446127,408859,44203,Barberton,OH
8001,OH,Batavia,660.6936317,873.7494368,903.1414863,1588.750573,1828.729448,2943.417918,4402.222327,61326,119965,164631,185868,249585,212479,222621,6535.514674,7462.371016,7528.225357,9821.87274,11782.51345,14744.85671,18450.51018,61326,119965,164631,185868,249585,212479,222621,45103,Batavia,OH
8002,OH,Bay Village,631.0569796,699.1841734,861.8792781,1724.906177,1672.511006,1929.435864,2513.922731,40172,44175,52197,45263,66759,83003,71681,6030.944344,7494.923963,7069.421272,9282.312784,11731.09607,14411.14136,14558.50738,40172,44175,52197,45263,66759,83003,71681,44140,Bay Village,OH
8003,OH,Beachwood,936.8123132,1518.270279,925.302537,1645.815652,1379.358425,1712.57874,2573.255673,85562,130464,205028,302532,433316,525715,455922,5706.331429,8545.951068,6928.058521,11615.5131,11434.17989,12733.35616,16371.01527,85562,130464,205028,302532,433316,525715,455922,44122,Beachwood,OH
8004,OH,Bedford,1414.75878,671.4695014,707.9153306,1208.441494,1770.719171,1818.72411,2490.215055,44548,71322,100012,165705,324823,338119,375390,4763.05872,7915.167906,6559.442837,12318.02911,11417.82779,12161.36301,15924.64327,44548,71322,100012,165705,324823,338119,375390,44146,Bedford,OH
8005,OH,Bellbrook,,,,,1539.16908,1678.021427,2487.730584,,,,,18517,79764,70713,,,,,14095.33678,13305.72322,16507.77226,,,,,18517,79764,70713,45305,Bellbrook,OH
8006,OH,Bellefontaine,436.7961194,550.3443068,818.1453562,1216.031126,1946.821492,1827.824548,1669.750182,74324,150996,301528,226016,158555,168368,189574,3391.039861,4116.656438,6384.94011,9659.955507,16564.08591,13655.58332,11397.97138,74324,150996,301528,226016,158555,168368,189574,43311,Bellefontaine,OH
8007,OH,Bellevue,444.489325,474.1516154,629.6813499,579.4097293,867.0891365,1200.405041,2349.166095,29952,54516,70891,96863,109891,109541,124215,3646.755571,5346.888047,4772.572595,4560.612182,7302.614958,7622.442363,13242.28931,29952,54516,70891,96863,109891,109541,124215,44811,Bellevue,OH
8008,OH,Bellville,,,,438.3375232,1168.264803,1897.908736,860.9126535,,,,13657,48545,37288,49643,,,,2680.543457,5371.699556,6956.637428,5258.507362,,,,13657,48545,37288,49643,44813,Bellville,OH
8009,OH,Berea,,,1065.847444,1466.089781,1647.360442,1978.277068,3385.617527,,,725,99463,153138,204240,151981,,,5956.21,8046.786932,10172.28066,11776.35822,15456.34,,,725,99463,153138,204240,151981,44017,Berea,OH
8010,OH,Bethel,,,,,1849.272422,1765.271582,2469.464713,,,,,31660,44997,42708,,,,,16930.54161,15124.38997,16354.83484,,,,,31660,44997,42708,45106,Bethel,OH
8011,OH,Blacklick,585.4636565,826.6951044,855.9748192,829.311011,1557.103685,1431.828419,2744.943891,83121,125878,155212,226608,277103,270052,228986,6070.86867,8900.814341,8947.019233,10002.15099,10788.4742,14077.43233,16923.83673,83121,125878,155212,226608,277103,270052,228986,43004,Blacklick,OH
8012,OH,Blanchester,,,,1080.242716,589.0908314,1013.820073,3192.027407,,,,5959,26636,26981,21294,,,,7969.62,4682.457843,6349.308588,9371.27,,,,5959,26636,26981,21294,45107,Blanchester,OH
8013,OH,Bolivar,,,,,1360.445628,1644.812909,1929.179142,,,,,38520,51395,45207,,,,,9764.168347,14131.12397,13469.22231,,,,,38520,51395,45207,44612,Bolivar,OH
