"county","cbsa","cntyname","cbsaname","pop10","afact"
"county","cbsa","cntyname","CBSA Name","Total Pop, 2010 census","county to cbsa alloc factor"
"51177","47900","Spotsylvania VA","Washington-Arlington-Alexandria, DC-VA-MD-WV",122397,1 
"51179","47900","Stafford VA","Washington-Arlington-Alexandria, DC-VA-MD-WV",128961,1 
"51181"," ","Surry VA"," ",7058,1 
"51183","40060","Sussex VA","Richmond, VA",12087,1 
"51185","14140","Tazewell VA","Bluefield, WV-VA",45078,1 
"51187","47900","Warren VA","Washington-Arlington-Alexandria, DC-VA-MD-WV",37575,1 
"51191","28700","Washington VA","Kingsport-Bristol-Bristol, TN-VA",54876,1 
"51193"," ","Westmoreland VA"," ",17454,1 
"51195","13720","Wise VA","Big Stone Gap, VA",41452,1 
"51197"," ","Wythe VA"," ",29235,1 
"51199","47260","York VA","Virginia Beach-Norfolk-Newport News, VA-NC",65464,1 
"51510","47900","Alexandria city VA","Washington-Arlington-Alexandria, DC-VA-MD-WV",139966,1 
"51515","31340","Bedford city VA","Lynchburg, VA",6222,1 
"51520","28700","Bristol city VA","Kingsport-Bristol-Bristol, TN-VA",17835,1 
"51530"," ","Buena Vista city VA"," ",6650,1 
"51540","16820","Charlottesville city VA","Charlottesville, VA",43475,1 
"51550","47260","Chesapeake city VA","Virginia Beach-Norfolk-Newport News, VA-NC",222209,1 
"51570","40060","Colonial Heights city VA","Richmond, VA",17411,1 
"51580"," ","Covington city VA"," ",5961,1 
"51590","19260","Danville city VA","Danville, VA",43055,1 
"51595"," ","Emporia city VA"," ",5927,1 
"51600","47900","Fairfax city VA","Washington-Arlington-Alexandria, DC-VA-MD-WV",22565,1 
"51610","47900","Falls Church city VA","Washington-Arlington-Alexandria, DC-VA-MD-WV",12332,1 
"51620"," ","Franklin city VA"," ",8582,1 
"51630","47900","Fredericksburg city VA","Washington-Arlington-Alexandria, DC-VA-MD-WV",24286,1 
"51640"," ","Galax city VA"," ",7042,1 
"51650","47260","Hampton city VA","Virginia Beach-Norfolk-Newport News, VA-NC",137436,1 
"51660","25500","Harrisonburg city VA","Harrisonburg, VA",48914,1 
"51670","40060","Hopewell city VA","Richmond, VA",22591,1 
"51678"," ","Lexington city VA"," ",7042,1 
"51680","31340","Lynchburg city VA","Lynchburg, VA",75568,1 
"51683","47900","Manassas city VA","Washington-Arlington-Alexandria, DC-VA-MD-WV",37821,1 
"51685","47900","Manassas Park city VA","Washington-Arlington-Alexandria, DC-VA-MD-WV",14273,1 
"51690","32300","Martinsville city VA","Martinsville, VA",13821,1 
"51700","47260","Newport News city VA","Virginia Beach-Norfolk-Newport News, VA-NC",180719,1 
"51710","47260","Norfolk city VA","Virginia Beach-Norfolk-Newport News, VA-NC",242803,1 
"51720","13720","Norton city VA","Big Stone Gap, VA",3958,1 
"51730","40060","Petersburg city VA","Richmond, VA",32420,1 
"51735","47260","Poquoson city VA","Virginia Beach-Norfolk-Newport News, VA-NC",12150,1 
"51740","47260","Portsmouth city VA","Virginia Beach-Norfolk-Newport News, VA-NC",95535,1 
"51750","13980","Radford city VA","Blacksburg-Christiansburg-Radford, VA",16408,1 
"51760","40060","Richmond city VA","Richmond, VA",204214,1 
"51770","40220","Roanoke city VA","Roanoke, VA",97032,1 
"51775","40220","Salem city VA","Roanoke, VA",24802,1 
"51790","44420","Staunton city VA","Staunton-Waynesboro, VA",23746,1 
"51800","47260","Suffolk city VA","Virginia Beach-Norfolk-Newport News, VA-NC",84585,1 
"51810","47260","Virginia Beach city VA","Virginia Beach-Norfolk-Newport News, VA-NC",437994,1 
"51820","44420","Waynesboro city VA","Staunton-Waynesboro, VA",21006,1 
"51830","47260","Williamsburg city VA","Virginia Beach-Norfolk-Newport News, VA-NC",14068,1 
"51840","49020","Winchester city VA","Winchester, VA-WV",26203,1 
"53001","36830","Adams WA","Othello, WA",18728,1 
"53003","30300","Asotin WA","Lewiston, ID-WA",21623,1 
"53005","28420","Benton WA","Kennewick-Richland, WA",175177,1 
"53007","48300","Chelan WA","Wenatchee, WA",72453,1 
"53009","38820","Clallam WA","Port Angeles, WA",71404,1 
"53011","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA",425363,1 
"53013","47460","Columbia WA","Walla Walla, WA",4078,1 
"53015","31020","Cowlitz WA","Longview, WA",102410,1 
"53017","48300","Douglas WA","Wenatchee, WA",38431,1 
"53019"," ","Ferry WA"," ",7551,1 
"53021","28420","Franklin WA","Kennewick-Richland, WA",78163,1 
"53023"," ","Garfield WA"," ",2266,1 
"53025","34180","Grant WA","Moses Lake, WA",89120,1 
"53027","10140","Grays Harbor WA","Aberdeen, WA",72797,1 
"53029","36020","Island WA","Oak Harbor, WA",78506,1 
"53031"," ","Jefferson WA"," ",29872,1 
"53033","42660","King WA","Seattle-Tacoma-Bellevue, WA",1931249,1 
"53035","14740","Kitsap WA","Bremerton-Silverdale, WA",251133,1 
"53037","21260","Kittitas WA","Ellensburg, WA",40915,1 
"53039"," ","Klickitat WA"," ",20318,1 
"53041","16500","Lewis WA","Centralia, WA",75455,1 
"53043"," ","Lincoln WA"," ",10570,1 
"53045","43220","Mason WA","Shelton, WA",60699,1 
"53047"," ","Okanogan WA"," ",41120,1 
"53049"," ","Pacific WA"," ",20920,1 
