state,puma12,puma2k,_us_,cbsa,stab,cbsaname,PUMAname,PUMA2kName,pop10,afact
FIPS state,puma12,puma2k,_us_,cbsa,State Postal Code,CBSA Name,PUMA12 Name,PUMA 2K Name,"Total Pop, 2010 census",puma2k to cbsa alloc factor
2,400,300,us, ,AK, ,Subsistence Alaska,200300,8881,1
2,400,400,us, ,AK, ,Subsistence Alaska,200400,100829,1
4,100,120,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Maricopa County--Gilbert (South) & Queen Creek Towns,400120,472,1
4,100,121,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Maricopa County--Gilbert (South) & Queen Creek Towns,400121,110811,1
4,101,114,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Maricopa County--Mesa City (East),400114,52193,1
4,101,122,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Maricopa County--Mesa City (East),400122,94111,1
4,102,114,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Maricopa County--Mesa City (North Central),400114,107175,1
4,102,115,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Maricopa County--Mesa City (North Central),400115,23938,1
4,103,114,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Maricopa County--Mesa City (West),400114,3390,1
4,103,115,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Maricopa County--Mesa City (West),400115,102701,1
4,104,114,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Maricopa County--Mesa City (South Central),400114,34733,1
4,104,115,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Maricopa County--Mesa City (South Central),400115,16415,1
4,104,122,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Maricopa County--Mesa City (South Central),400122,49081,1
4,105,120,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Maricopa County--Gilbert Town (North),400120,2839,1
4,105,121,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Maricopa County--Gilbert Town (North),400121,132480,1
4,106,120,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Maricopa County--Chandler City (Northeast),400120,111536,1
4,106,121,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Maricopa County--Chandler City (Northeast),400121,2500,1
4,107,120,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Maricopa County--Chandler City (South),400120,100430,1
4,108,116,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Maricopa County--Tempe (South) & Chandler (Northwest) Cities,400116,63837,1
4,108,120,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Maricopa County--Tempe (South) & Chandler (Northwest) Cities,400120,37211,1
4,109,116,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Maricopa County--Tempe City (North),400116,102150,1
4,110,105,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town,400105,33777,1
4,110,106,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town,400106,83181,1
4,111,105,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town,400105,87896,1
4,111,106,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town,400106,16981,1
4,112,103,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ","Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek",400103,21,1
4,112,104,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ","Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek",400104,51916,1
4,112,105,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ","Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek",400105,53541,1
4,113,104,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Phoenix City (Northeast),400104,57994,1
4,113,107,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Phoenix City (Northeast),400107,44195,1
4,114,104,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Phoenix City (Northeast Central),400104,46022,1
4,114,107,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Phoenix City (Northeast Central),400107,44883,1
4,114,112,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Phoenix City (Northeast Central),400112,12734,1
4,115,104,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Phoenix City (Northwest Central),400104,43878,1
4,115,107,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Phoenix City (Northwest Central),400107,44822,1
4,115,112,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Phoenix City (Northwest Central),400112,13057,1
4,116,107,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Phoenix City (Uptown),400107,6419,1
4,116,112,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Phoenix City (Uptown),400112,93793,1
4,117,113,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Phoenix City (East),400113,97283,1
4,117,117,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Phoenix City (East),400117,3161,1
4,118,112,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Phoenix City--Downtown & Sky Harbor International Airport,400112,24792,1
4,118,113,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Phoenix City--Downtown & Sky Harbor International Airport,400113,1410,1
4,118,117,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Phoenix City--Downtown & Sky Harbor International Airport,400117,74690,1
4,118,118,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Phoenix City--Downtown & Sky Harbor International Airport,400118,7822,1
4,119,117,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Phoenix City (South),400117,60884,1
4,119,118,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Phoenix City (South),400118,23428,1
4,119,119,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Phoenix City (South),400119,21202,1
4,120,119,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Phoenix City--Ahwatukee & South Mountain,400119,100182,1
4,121,110,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Phoenix (Southwest) & Tolleson Cities,400110,21087,1
4,121,111,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Phoenix (Southwest) & Tolleson Cities,400111,6545,1
4,121,118,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Phoenix (Southwest) & Tolleson Cities,400118,61265,1
4,121,119,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Phoenix (Southwest) & Tolleson Cities,400119,34848,1
4,122,111,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Phoenix City--Maryvale (East),400111,44963,1
4,122,112,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Phoenix City--Maryvale (East),400112,5574,1
4,122,118,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Phoenix City--Maryvale (East),400118,53790,1
4,123,111,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Phoenix City--Maryvale (West),400111,84198,1
4,123,118,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Phoenix City--Maryvale (West),400118,24206,1
4,124,109,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Maricopa County--Glendale City (South),400109,100367,1
4,125,103,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Phoenix City (West),400103,61676,1
4,125,111,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Phoenix City (West),400111,34644,1
4,125,112,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Phoenix City (West),400112,5612,1
4,126,103,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Maricopa County--Glendale City (North),400103,3124,1
4,126,108,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Maricopa County--Glendale City (North),400108,113505,1
4,126,109,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Maricopa County--Glendale City (North),400109,5212,1
4,127,102,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Maricopa County--Peoria City (South & Central),400102,110162,1
4,127,109,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Maricopa County--Peoria City (South & Central),400109,3285,1
4,128,103,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Phoenix City (North),400103,103065,1
4,129,101,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Phoenix (Far North) & Peoria (Northwest) Cities,400101,2259,1
4,129,102,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Phoenix (Far North) & Peoria (Northwest) Cities,400102,33160,1
4,129,103,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Phoenix (Far North) & Peoria (Northwest) Cities,400103,66904,1
4,129,104,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Phoenix (Far North) & Peoria (Northwest) Cities,400104,3495,1
4,130,101,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Maricopa County--El Mirage City & Sun City,400101,75717,1
4,130,102,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Maricopa County--El Mirage City & Sun City,400102,2886,1
4,130,109,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Maricopa County--El Mirage City & Sun City,400109,29812,1
4,130,110,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Maricopa County--El Mirage City & Sun City,400110,7807,1
4,131,101,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Maricopa County--Surprise City (Central),400101,27457,1
4,131,110,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Maricopa County--Surprise City (Central),400110,76083,1
4,132,109,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ","Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities",400109,28101,1
4,132,110,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ","Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities",400110,74470,1
4,133,109,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities,400109,4277,1
4,133,110,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities,400110,88197,1
4,133,111,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities,400111,11515,1
4,134,101,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Maricopa County (West) & Gila River Indian Community (Northwest),400101,39106,1
4,134,110,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Maricopa County (West) & Gila River Indian Community (Northwest),400110,70776,1
4,201,207,us,46060,AZ,"Tucson, AZ",Pima County (West),400207,101172,1
4,202,204,us,46060,AZ,"Tucson, AZ",Tucson (West) & Marana Cities,400204,18231,1
4,202,205,us,46060,AZ,"Tucson, AZ",Tucson (West) & Marana Cities,400205,10805,1
4,202,207,us,46060,AZ,"Tucson, AZ",Tucson (West) & Marana Cities,400207,86285,1
4,203,205,us,46060,AZ,"Tucson, AZ",Pima County (North Central)--Oro Valley Town,400205,109462,1
4,204,203,us,46060,AZ,"Tucson, AZ",Pima County (Northeast),400203,104334,1
4,204,206,us,46060,AZ,"Tucson, AZ",Pima County (Northeast),400206,100,1
4,205,206,us,46060,AZ,"Tucson, AZ",Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town,400206,88432,1
4,205,207,us,46060,AZ,"Tucson, AZ",Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town,400207,33853,1
4,206,202,us,46060,AZ,"Tucson, AZ",Tucson City (Northeast),400202,20175,1
4,206,204,us,46060,AZ,"Tucson, AZ",Tucson City (Northeast),400204,51395,1
4,206,206,us,46060,AZ,"Tucson, AZ",Tucson City (Northeast),400206,30589,1
4,207,201,us,46060,AZ,"Tucson, AZ",Tucson City (Northwest),400201,31737,1
4,207,204,us,46060,AZ,"Tucson, AZ",Tucson City (Northwest),400204,70190,1
4,208,201,us,46060,AZ,"Tucson, AZ",Tucson City (South),400201,108063,1
4,209,202,us,46060,AZ,"Tucson, AZ",Tucson City (Southeast),400202,83982,1
4,209,206,us,46060,AZ,"Tucson, AZ",Tucson City (Southeast),400206,31458,1
4,300,300,us, ,AZ, ,Navajo & Apache Counties,400300,71518,0.4
4,300,300,us,43320,AZ,"Show Low, AZ",Navajo & Apache Counties,400300,107449,0.6
4,400,400,us,22380,AZ,"Flagstaff, AZ",Coconino County--Flagstaff City,400400,134421,1
4,500,500,us,39140,AZ,"Prescott, AZ",Yavapai County,400500,211033,1
4,600,600,us, ,AZ, ,Mohave & La Paz Counties--Lake Havasu City,400600,20489,0.093
4,600,600,us,29420,AZ,"Lake Havasu City-Kingman, AZ",Mohave & La Paz Counties--Lake Havasu City,400600,200186,0.907
4,700,700,us,49740,AZ,"Yuma, AZ",Yuma County--Yuma City,400700,195751,1
4,800,800,us,37740,AZ,"Payson, AZ","Gila, Graham, Greenlee & Pinal (East) Counties",400800,53597,0.832
4,800,800,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ","Gila, Graham, Greenlee & Pinal (East) Counties",400800,10860,0.168
4,800,900,us, ,AZ, ,"Gila, Graham, Greenlee & Pinal (East) Counties",400900,8437,0.185
4,800,900,us,40940,AZ,"Safford, AZ","Gila, Graham, Greenlee & Pinal (East) Counties",400900,37220,0.815
4,803,800,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ",Pinal County (North)--Apache Junction City,400800,123512,1
4,805,800,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ","Pinal County (Central)--Florence Town, Eloy (Northeast) & Coolidge Cities",400800,114145,1
4,807,800,us,38060,AZ,"Phoenix-Mesa-Scottsdale, AZ","Pinal County (West)--Maricopa, Casa Grande & Eloy (Southeast) Cities",400800,127253,1
4,900,900,us,35700,AZ,"Nogales, AZ",Cochise & Santa Cruz Counties--Sierra Vista City,400900,47420,0.265
4,900,900,us,43420,AZ,"Sierra Vista-Douglas, AZ",Cochise & Santa Cruz Counties--Sierra Vista City,400900,131346,0.735
5,100,100,us,22220,AR,"Fayetteville-Springdale-Rogers, AR-MO",Benton County,500100,221339,1
5,200,100,us,22220,AR,"Fayetteville-Springdale-Rogers, AR-MO",Washington County,500100,93,1
5,200,200,us,22220,AR,"Fayetteville-Springdale-Rogers, AR-MO",Washington County,500200,202972,1
5,300,300,us, ,AR, ,"Baxter, Boone, Carroll, Marion, Madison, Newton & Searcy Counties",500300,52294,0.338
5,300,300,us,22220,AR,"Fayetteville-Springdale-Rogers, AR-MO","Baxter, Boone, Carroll, Marion, Madison, Newton & Searcy Counties",500300,15717,0.102
5,300,300,us,25460,AR,"Harrison, AR","Baxter, Boone, Carroll, Marion, Madison, Newton & Searcy Counties",500300,45233,0.292
5,300,300,us,34260,AR,"Mountain Home, AR","Baxter, Boone, Carroll, Marion, Madison, Newton & Searcy Counties",500300,41513,0.268
5,400,400,us, ,AR, ,"Independence, Cleburne, Van Buren, Sharp, Izard, Stone & Fulton Counties",500400,98862,0.73
5,400,400,us,12900,AR,"Batesville, AR","Independence, Cleburne, Van Buren, Sharp, Izard, Stone & Fulton Counties",500400,36647,0.27
5,400,1200,us, ,AR, ,"Independence, Cleburne, Van Buren, Sharp, Izard, Stone & Fulton Counties",501200,2,1
5,500,500,us, ,AR, ,"Craighead (West), Greene, Randolph, Lawrence & Clay Counties",500500,51467,0.285
5,500,500,us,27860,AR,"Jonesboro, AR","Craighead (West), Greene, Randolph, Lawrence & Clay Counties",500500,86730,0.481
5,500,500,us,37500,AR,"Paragould, AR","Craighead (West), Greene, Randolph, Lawrence & Clay Counties",500500,42090,0.233
5,600,500,us,27860,AR,"Jonesboro, AR","Crittenden, Mississippi & Craighead (East) Counties",500500,9713,1
